age,blockNum,center,colormap,completionCode,correct,correlation,currentOffsets,distance,education,engagementCorrect,gender,generationTime,modelChoice,noiseAmplitude,noisePerturb,noisePerturbCount,prolificId,responseTime,selectedDecoyType,selection,stimulusCorrect,stimulusNum,trialNum,vis,subjectid
35-44,36,0.098716,Hue-5 with Wave-6,,1,0,43.48809406996964,0.0625537162341404,high_school,3,male,2106,1,1.1,1.9,1,5a381de00006450001bf2691,5489,0,2,75,65,1,fieldSmooth,1
35-44,36,0.098716,Hue-5 with Wave-6,,1,0,43.48809406996964,0.0638775003069307,high_school,3,male,1066,2,1.1,1.9,1,5a381de00006450001bf2691,4646,1,3,75,66,2,fieldSmooth,1
35-44,37,0.098716,Hue-5 with Wave-2,,1,0,43.48809406996964,0.0814336607007642,high_school,3,male,2004,2,1.1,1.9,1,5a381de00006450001bf2691,4331,1,1,75,67,1,fieldSmooth,1
35-44,37,0.098716,Hue-5 with Wave-2,,1,0,43.48809406996964,0.0486523468713595,high_school,3,male,1137,2,1.1,1.9,1,5a381de00006450001bf2691,7355,1,1,75,68,2,fieldSmooth,1
35-44,38,0.098716,Hue-0 with Wave-9,,1,0,0.0,0.0835910898273137,high_school,3,male,1696,2,1.1,1.9,1,5a381de00006450001bf2691,17792,1,4,75,69,1,fieldSmooth,1
35-44,38,0.098716,Hue-0 with Wave-9,,1,0,0.0,0.0816231922116629,high_school,3,male,1025,1,1.1,1.9,1,5a381de00006450001bf2691,6993,0,4,75,70,2,fieldSmooth,1
35-44,39,0.098716,Hue-7 with Wave-1,,1,0,48.9271395181075,0.0648262386940066,high_school,3,male,1937,1,1.1,1.9,1,5a381de00006450001bf2691,6646,0,1,75,71,1,fieldSmooth,1
35-44,39,0.098716,Hue-7 with Wave-1,,1,0,48.9271395181075,0.0621384476037575,high_school,3,male,999,2,1.1,1.9,1,5a381de00006450001bf2691,3892,1,4,75,72,2,fieldSmooth,1
35-44,40,0.098716,Hue-5 with Wave-8,,1,0,43.48809406996964,0.0974247828692175,high_school,3,male,2053,2,1.1,1.9,1,5a381de00006450001bf2691,3355,1,4,75,73,1,fieldSmooth,1
35-44,40,0.098716,Hue-5 with Wave-8,,1,0,43.48809406996964,0.0584855721850902,high_school,3,male,1152,1,1.1,1.9,1,5a381de00006450001bf2691,5999,0,3,75,74,2,fieldSmooth,1
